"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"caerwentAmphitheater","Amphitheater at Caerwent","Caerwent","Venta Silurum","https://pleiades.stoa.org/places/79733","","128","amphitheater","imperial",True,"","United Kingdom","britannia",44.0,35.0,63.0,53.0,"",-2.766307,51.612173,25
"tomen-y-murAmphitheater","Amphitheater at Tomen y Mur","Tomen y Mur","","https://pleiades.stoa.org/places/142376597","","31","amphitheater","imperial",True,2772.0,"United Kingdom","britannia",35.0,28.0,52.0,46.0,"",-3.9235,52.931893,295
"thaenaeAmphitheater","Amphitheater at Thaenae","Thaenae","","https://pleiades.stoa.org/places/324825","","71","amphitheater","second-century",True,8700.0,"Tunisia","proconsularis",62.0,33.0,90.0,61.0,"",10.673126,34.655481,7
"sbeitlaAmphitheater","Amphitheater at Sbeitla","Sbeitla","Sufetula","https://pleiades.stoa.org/places/324816","","113","amphitheater","second-century",True,6500.0,"Tunisia","proconsularis",47.0,37.0,72.0,60.0,"",9.114582,35.243617,556
"tebessaAmphitheater","Amphitheater at Theveste","Tebessa","Theveste","https://pleiades.stoa.org/places/324831","","","amphitheater","flavian",True,9400.0,"Algeria","proconsularis",52.8,39.5,83.0,70.0,"",8.123809,35.401171,877
"trierAmphitheater","Amphitheater at Trier","Trier","Augusta Treverorum","https://pleiades.stoa.org/places/108894","","","amphitheater","second-century",True,20000.0,"Germany","belgica",70.54,48.92,100.0,79.0,"",6.649088,49.748052,168
"susaAmphitheater","Amphitheater at Susa","Susa","Segusio","https://pleiades.stoa.org/places/167919","","15","amphitheater","imperial",True,3015.0,"Italy","alpes-cottiae",44.0,36.0,60.0,52.0,"",7.04497,45.133185,546
"ivreaAmphitheater","Amphitheater at Ivrea","Ivrea","Eporedia","https://pleiades.stoa.org/places/383642","","55","amphitheater","first-century",True,8046.0,"Italy","regio-xi",67.0,42.0,96.0,72.0,"",7.887734,45.467767,240
"bararusAmphitheater","Amphitheater at Bararus","Bararus","","https://pleiades.stoa.org/places/324673","","","amphitheater","severan",False,12000.0,"Tunisia","proconsularis",63.75,37.5,98.0,73.5,"",10.791226,35.211828,68
"castraAlbanaAmphitheater","Amphitheater at Castra Albana","Albana","","https://pleiades.stoa.org/places/422885","","190","amphitheater","severan",False,20000.0,"Italy","regio-i",67.5,45.0,116.5,94.0,"",12.66501,41.732637,454
